opportunity_id,symbol,row_number,direction,observable_entry_ts,fill_ts,exit_ts,decision,skip_reason,blocking_trade_id,blocking_symbol,blocking_fill_ts,blocking_exit_ts,active_positions_before,active_positions_after
OPP-000004,BTC,18,LONG,1772906519999,1772906519999,1772911199999,ACCEPTED,,,,,,0,1
OPP-000006,BTC,22,LONG,1772906519999,1772906519999,1772911199999,SKIPPED,SAME_SYMBOL_OVERLAP_SKIPPED,TRADE-000001,BTC,1772906519999,1772911199999,1,1
OPP-000007,BTC,42,LONG,1772906519999,1772906519999,1772911199999,SKIPPED,SAME_SYMBOL_OVERLAP_SKIPPED,TRADE-000001,BTC,1772906519999,1772911199999,1,1
OPP-000009,BTC,54,LONG,1772906519999,1772906519999,1772911199999,SKIPPED,SAME_SYMBOL_OVERLAP_SKIPPED,TRADE-000001,BTC,1772906519999,1772911199999,1,1
OPP-000010,BTC,61,LONG,1772906519999,1772906519999,1772911199999,SKIPPED,SAME_SYMBOL_OVERLAP_SKIPPED,TRADE-000001,BTC,1772906519999,1772911199999,1,1
OPP-000014,BTC,80,LONG,1772906519999,1772906519999,1772911199999,SKIPPED,SAME_SYMBOL_OVERLAP_SKIPPED,TRADE-000001,BTC,1772906519999,1772911199999,1,1
OPP-000015,BTC,83,LONG,1772906519999,1772906519999,1772911199999,SKIPPED,SAME_SYMBOL_OVERLAP_SKIPPED,TRADE-000001,BTC,1772906519999,1772911199999,1,1
OPP-000018,BTC,112,LONG,1772906519999,1772906519999,1772911199999,SKIPPED,SAME_SYMBOL_OVERLAP_SKIPPED,TRADE-000001,BTC,1772906519999,1772911199999,1,1
OPP-000019,BTC,118,LONG,1772906519999,1772906519999,1772911199999,SKIPPED,SAME_SYMBOL_OVERLAP_SKIPPED,TRADE-000001,BTC,1772906519999,1772911199999,1,1
OPP-000022,BTC,135,LONG,1772906519999,1772906519999,1772911199999,SKIPPED,SAME_SYMBOL_OVERLAP_SKIPPED,TRADE-000001,BTC,1772906519999,1772911199999,1,1
OPP-000023,BTC,139,LONG,1772906519999,1772906519999,1772911199999,SKIPPED,SAME_SYMBOL_OVERLAP_SKIPPED,TRADE-000001,BTC,1772906519999,1772911199999,1,1
OPP-000026,BTC,178,LONG,1772906519999,1772906519999,1772911199999,SKIPPED,SAME_SYMBOL_OVERLAP_SKIPPED,TRADE-000001,BTC,1772906519999,1772911199999,1,1
OPP-000028,BTC,187,LONG,1772906519999,1772906519999,1772911199999,SKIPPED,SAME_SYMBOL_OVERLAP_SKIPPED,TRADE-000001,BTC,1772906519999,1772911199999,1,1
OPP-000029,BTC,204,LONG,1772906519999,1772906519999,1772911199999,SKIPPED,SAME_SYMBOL_OVERLAP_SKIPPED,TRADE-000001,BTC,1772906519999,1772911199999,1,1
OPP-000034,BTC,215,LONG,1772906519999,1772906519999,1772911199999,SKIPPED,SAME_SYMBOL_OVERLAP_SKIPPED,TRADE-000001,BTC,1772906519999,1772911199999,1,1
OPP-000035,BTC,220,LONG,1772906519999,1772906519999,1772911199999,SKIPPED,SAME_SYMBOL_OVERLAP_SKIPPED,TRADE-000001,BTC,1772906519999,1772911199999,1,1
OPP-000036,BTC,237,LONG,1772906519999,1772906519999,1772911199999,SKIPPED,SAME_SYMBOL_OVERLAP_SKIPPED,TRADE-000001,BTC,1772906519999,1772911199999,1,1
OPP-000037,BTC,242,LONG,1772906519999,1772906519999,1772911199999,SKIPPED,SAME_SYMBOL_OVERLAP_SKIPPED,TRADE-000001,BTC,1772906519999,1772911199999,1,1
OPP-000039,BTC,249,LONG,1772906519999,1772906519999,1772911199999,SKIPPED,SAME_SYMBOL_OVERLAP_SKIPPED,TRADE-000001,BTC,1772906519999,1772911199999,1,1
OPP-000041,BTC,272,LONG,1772906519999,1772906519999,1772911199999,SKIPPED,SAME_SYMBOL_OVERLAP_SKIPPED,TRADE-000001,BTC,1772906519999,1772911199999,1,1
OPP-000042,BTC,295,LONG,1772906519999,1772906519999,1772911199999,SKIPPED,SAME_SYMBOL_OVERLAP_SKIPPED,TRADE-000001,BTC,1772906519999,1772911199999,1,1
OPP-000049,BTC,337,LONG,1772906519999,1772906519999,1772911199999,SKIPPED,SAME_SYMBOL_OVERLAP_SKIPPED,TRADE-000001,BTC,1772906519999,1772911199999,1,1
OPP-000050,BTC,339,LONG,1772906519999,1772906519999,1772911199999,SKIPPED,SAME_SYMBOL_OVERLAP_SKIPPED,TRADE-000001,BTC,1772906519999,1772911199999,1,1
OPP-000051,BTC,345,LONG,1772906519999,1772906519999,1772911199999,SKIPPED,SAME_SYMBOL_OVERLAP_SKIPPED,TRADE-000001,BTC,1772906519999,1772911199999,1,1
OPP-000052,BTC,355,LONG,1772906519999,1772906519999,1772911199999,SKIPPED,SAME_SYMBOL_OVERLAP_SKIPPED,TRADE-000001,BTC,1772906519999,1772911199999,1,1
OPP-000054,BTC,377,LONG,1772906519999,1772906519999,1772911199999,SKIPPED,SAME_SYMBOL_OVERLAP_SKIPPED,TRADE-000001,BTC,1772906519999,1772911199999,1,1
OPP-000056,BTC,397,LONG,1772906519999,1772906519999,1772911199999,SKIPPED,SAME_SYMBOL_OVERLAP_SKIPPED,TRADE-000001,BTC,1772906519999,1772911199999,1,1
OPP-000058,BTC,404,LONG,1772906519999,1772906519999,1772911199999,SKIPPED,SAME_SYMBOL_OVERLAP_SKIPPED,TRADE-000001,BTC,1772906519999,1772911199999,1,1
OPP-000060,BTC,413,LONG,1772906519999,1772906519999,1772911199999,SKIPPED,SAME_SYMBOL_OVERLAP_SKIPPED,TRADE-000001,BTC,1772906519999,1772911199999,1,1
OPP-000063,BTC,425,LONG,1772906519999,1772906519999,1772911199999,SKIPPED,SAME_SYMBOL_OVERLAP_SKIPPED,TRADE-000001,BTC,1772906519999,1772911199999,1,1
OPP-000066,BTC,464,LONG,1772906519999,1772906519999,1772911199999,SKIPPED,SAME_SYMBOL_OVERLAP_SKIPPED,TRADE-000001,BTC,1772906519999,1772911199999,1,1
OPP-000067,BTC,515,LONG,1772906519999,1772906519999,1772911199999,SKIPPED,SAME_SYMBOL_OVERLAP_SKIPPED,TRADE-000001,BTC,1772906519999,1772911199999,1,1
OPP-000068,BTC,521,LONG,1772906519999,1772906519999,1772911199999,SKIPPED,SAME_SYMBOL_OVERLAP_SKIPPED,TRADE-000001,BTC,1772906519999,1772911199999,1,1
OPP-000070,BTC,548,LONG,1772906519999,1772906519999,1772911199999,SKIPPED,SAME_SYMBOL_OVERLAP_SKIPPED,TRADE-000001,BTC,1772906519999,1772911199999,1,1
OPP-000072,BTC,553,LONG,1772906519999,1772906519999,1772911199999,SKIPPED,SAME_SYMBOL_OVERLAP_SKIPPED,TRADE-000001,BTC,1772906519999,1772911199999,1,1
