symbol,side,resolution_status,quality_score,quality_grade,pullback_quality,risk_quality,reward_quality,breakout_context,trend_state,trend_regime,immediate_slope,is_extended_move,active_leg_boxes,tp1_hit,ideal_entry,invalidation,tp1,tp2,entry_price,exit_price,realized_r_multiple,reason,resolution_note,reference_ts,activated_ts,resolved_ts,setup_id
BNBUSDT,LONG,STOPPED,100.0,A,HEALTHY,TIGHT,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,610.0,606.0,618.0,622.0,610.0,606.0,-1.0,Bullish pullback near support with acceptable close-confirmed risk profile,stop_hit_before_tp1,1775040959999,1775081999999,1775092739999,9b306e7a34ad57df19213f693445d6fd25918bfb
BNBUSDT,SHORT,STOPPED,90.0,A,HEALTHY,NORMAL,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,588.0,596.0,572.0,564.0,588.0,596.0,-1.0,Failed bullish move / reversal short near resistance with acceptable risk profile,stop_hit_before_tp1,1775395799999,1775395979999,1775403059999,d161baf3fc7db3b199e965f9673a793cb133c6e4
BTCUSDT,LONG,STOPPED,100.0,A,HEALTHY,TIGHT,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,66300.0,66100.0,66700.0,66900.0,66300.0,66100.0,-1.0,Bullish pullback near support with acceptable close-confirmed risk profile,stop_hit_before_tp1,1774821839999,1774822019999,1774824119999,c9ad1678e36af1b5f8a75578d4f76120102dc54f
BTCUSDT,LONG,STOPPED,90.0,A,HEALTHY,TIGHT,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,66000.0,65800.0,66400.0,66600.0,66000.0,65800.0,-1.0,Bullish pullback near support with acceptable close-confirmed risk profile,stop_hit_before_tp1,1774830359999,1775132519999,1775136959999,c154515e2c907e1f09925b37542d6088723ee983
BTCUSDT,LONG,STOPPED,100.0,A,HEALTHY,TIGHT,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,67000.0,66800.0,67400.0,67600.0,67000.0,66800.0,-1.0,Bullish pullback near support with acceptable close-confirmed risk profile,stop_hit_before_tp1,1775151539999,1775151659999,1775152319999,b3e5edde37b801039f78550f8bf456a8057b1514
ETHUSDT,LONG,STOPPED,100.0,A,HEALTHY,TIGHT,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,2055.0,2045.0,2075.0,2085.0,2055.0,2045.0,-1.0,Bullish pullback near support with acceptable close-confirmed risk profile,stop_hit_before_tp1,1774878599999,1774880999999,1774881479999,293a2bcaf2e64990cd52bf8f4de751e9ae0cb1c1
ETHUSDT,LONG,STOPPED,100.0,A,HEALTHY,TIGHT,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,2055.0,2045.0,2075.0,2085.0,2055.0,2045.0,-1.0,Bullish pullback near support with acceptable close-confirmed risk profile,stop_hit_before_tp1,1774889699999,1774891079999,1774891499999,62bb3d9ea77c55189159519d401659a1e87c467f
ETHUSDT,LONG,STOPPED,100.0,A,HEALTHY,TIGHT,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,2050.0,2040.0,2070.0,2080.0,2050.0,2040.0,-1.0,Bullish pullback near support with acceptable close-confirmed risk profile,stop_hit_before_tp1,1774971059999,1775101379999,1775106539999,8d2b19bd090f4d404e0e24886c6da6665ffcc015
ETHUSDT,LONG,STOPPED,100.0,A,HEALTHY,TIGHT,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,2055.0,2045.0,2075.0,2085.0,2055.0,2045.0,-1.0,Bullish pullback near support with acceptable close-confirmed risk profile,stop_hit_before_tp1,1775152079999,1775152139999,1775152739999,d43b37f74b4de96d8b02ff7f07460e9112a5d2cc
ETHUSDT,LONG,STOPPED,100.0,A,HEALTHY,TIGHT,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,2050.0,2040.0,2070.0,2080.0,2050.0,2040.0,-1.0,Bullish pullback near support with acceptable close-confirmed risk profile,stop_hit_before_tp1,1775351279999,1775368319999,1775369399999,c1f0a982706ea8eb0bc2424228ee8af109199ed2
