symbol,scope,cohort,count,median_column_distance,avg_column_distance,p25_column_distance,p75_column_distance,p90_column_distance,pct_column_distance_1,pct_column_distance_lte_2,pct_column_distance_lte_3,median_time_distance_ms,avg_time_distance_ms,p90_time_distance_ms
BTCUSDT,BTCUSDT,ALL,0,,,,,,,,,,,
BTCUSDT,BTCUSDT,SYM_0_90_1_10,0,,,,,,,,,,,
BTCUSDT,BTCUSDT,EXT_1_20_1_35,0,,,,,,,,,,,
BTCUSDT,BTCUSDT,EXT_1_55_1_70,0,,,,,,,,,,,
BTCUSDT,BTCUSDT,OTHER,0,,,,,,,,,,,
ETHUSDT,ETHUSDT,ALL,0,,,,,,,,,,,
ETHUSDT,ETHUSDT,SYM_0_90_1_10,0,,,,,,,,,,,
ETHUSDT,ETHUSDT,EXT_1_20_1_35,0,,,,,,,,,,,
ETHUSDT,ETHUSDT,EXT_1_55_1_70,0,,,,,,,,,,,
ETHUSDT,ETHUSDT,OTHER,0,,,,,,,,,,,
SOLUSDT,SOLUSDT,ALL,0,,,,,,,,,,,
SOLUSDT,SOLUSDT,SYM_0_90_1_10,0,,,,,,,,,,,
SOLUSDT,SOLUSDT,EXT_1_20_1_35,0,,,,,,,,,,,
SOLUSDT,SOLUSDT,EXT_1_55_1_70,0,,,,,,,,,,,
SOLUSDT,SOLUSDT,OTHER,0,,,,,,,,,,,
