period,harmonic_level,observed_frequency,expected_frequency,enrichment_factor,cluster_strength_score,rank
2024,0.236,0,,0,0,16
2024,0.382,0,,0,0,16
2024,0.5,0,,0,0,16
2024,0.618,0,,0,0,16
2024,0.707,0,,0,0,16
2024,0.786,0,,0,0,16
2024,0.886,0,,0,0,16
2024,1,0,,0,0,16
2024,1.13,0,,0,0,16
2024,1.27,0,,0,0,16
2024,1.414,0,,0,0,16
2024,1.618,0,,0,0,16
2024,2,0,,0,0,16
2024,2.24,0,,0,0,16
2024,2.618,0,,0,0,16
2025,0.236,0,,0,0,16
2025,0.382,0,,0,0,16
2025,0.5,0,,0,0,16
2025,0.618,0,,0,0,16
2025,0.707,0,,0,0,16
2025,0.786,0,,0,0,16
2025,0.886,0,,0,0,16
2025,1,0,,0,0,16
2025,1.13,0,,0,0,16
2025,1.27,0,,0,0,16
2025,1.414,0,,0,0,16
2025,1.618,0,,0,0,16
2025,2,0,,0,0,16
2025,2.24,0,,0,0,16
2025,2.618,0,,0,0,16
2026,0.236,0.2,0.0144318181817,13.8582677166,11.8202173882,1
2026,1,0.133333333333,0.0415909090909,3.2058287796,3.2058287796,2
2026,0.382,0.2,0.045,4.44444444444,2.81252768315,3
2026,0.618,0.0666666666667,0.0352840909091,1.88942565754,1.31299071117,4
2026,0.707,0.0666666666667,0.0286363636364,2.32804232804,1.30788894834,5
2026,1.27,0.0666666666667,0.0484090909091,1.37715179969,0.994609633107,6
2026,1.13,0.0666666666667,0.0460227272727,1.44855967078,0.689790319351,7
2026,2,0.0666666666667,0.106022727273,0.628795998571,0.628795998571,8
2026,1.618,0.0666666666667,0.0998863636364,0.667425104285,0.504687195541,9
2026,2.618,0.0666666666667,0.262840909091,0.253638852861,0,10
2026,0.5,0,0.0402272727273,0,0,11
2026,0.786,0,0.0305113636364,0,0,12
2026,0.886,0,0.0364772727273,0,0,13
2026,1.414,0,0.0593181818182,0,0,14
2026,2.24,0,0.105340909091,0,0,15
2026H1,0.236,0.2,0.0144318181817,13.8582677166,11.8202173882,1
2026H1,1,0.133333333333,0.0415909090909,3.2058287796,3.2058287796,2
2026H1,0.382,0.2,0.045,4.44444444444,2.81252768315,3
2026H1,0.618,0.0666666666667,0.0352840909091,1.88942565754,1.31299071117,4
2026H1,0.707,0.0666666666667,0.0286363636364,2.32804232804,1.30788894834,5
2026H1,1.27,0.0666666666667,0.0484090909091,1.37715179969,0.994609633107,6
2026H1,1.13,0.0666666666667,0.0460227272727,1.44855967078,0.689790319351,7
2026H1,2,0.0666666666667,0.106022727273,0.628795998571,0.628795998571,8
2026H1,1.618,0.0666666666667,0.0998863636364,0.667425104285,0.504687195541,9
2026H1,2.618,0.0666666666667,0.262840909091,0.253638852861,0,10
2026H1,0.5,0,0.0402272727273,0,0,11
2026H1,0.786,0,0.0305113636364,0,0,12
2026H1,0.886,0,0.0364772727273,0,0,13
2026H1,1.414,0,0.0593181818182,0,0,14
2026H1,2.24,0,0.105340909091,0,0,15
