period_a,period_b,harmonic_level,rank_difference,frequency_difference,enrichment_difference
2024,2025,0.236,0,0,0
2024,2025,0.382,0,0,0
2024,2025,0.5,0,0,0
2024,2025,0.618,0,0,0
2024,2025,0.707,0,0,0
2024,2025,0.786,0,0,0
2024,2025,0.886,0,0,0
2024,2025,1,0,0,0
2024,2025,1.13,0,0,0
2024,2025,1.27,0,0,0
2024,2025,1.414,0,0,0
2024,2025,1.618,0,0,0
2024,2025,2,0,0,0
2024,2025,2.24,0,0,0
2024,2025,2.618,0,0,0
2024,2026,0.236,-15,0.2,13.8582677166
2024,2026,0.382,-13,0.2,4.44444444444
2024,2026,0.5,-5,0,0
2024,2026,0.618,-12,0.0666666666667,1.88942565754
2024,2026,0.707,-11,0.0666666666667,2.32804232804
2024,2026,0.786,-4,0,0
2024,2026,0.886,-3,0,0
2024,2026,1,-14,0.133333333333,3.2058287796
2024,2026,1.13,-9,0.0666666666667,1.44855967078
2024,2026,1.27,-10,0.0666666666667,1.37715179969
2024,2026,1.414,-2,0,0
2024,2026,1.618,-7,0.0666666666667,0.667425104285
2024,2026,2,-8,0.0666666666667,0.628795998571
2024,2026,2.24,-1,0,0
2024,2026,2.618,-6,0.0666666666667,0.253638852861
2024,2026H1,0.236,-15,0.2,13.8582677166
2024,2026H1,0.382,-13,0.2,4.44444444444
2024,2026H1,0.5,-5,0,0
2024,2026H1,0.618,-12,0.0666666666667,1.88942565754
2024,2026H1,0.707,-11,0.0666666666667,2.32804232804
2024,2026H1,0.786,-4,0,0
2024,2026H1,0.886,-3,0,0
2024,2026H1,1,-14,0.133333333333,3.2058287796
2024,2026H1,1.13,-9,0.0666666666667,1.44855967078
2024,2026H1,1.27,-10,0.0666666666667,1.37715179969
2024,2026H1,1.414,-2,0,0
2024,2026H1,1.618,-7,0.0666666666667,0.667425104285
2024,2026H1,2,-8,0.0666666666667,0.628795998571
2024,2026H1,2.24,-1,0,0
2024,2026H1,2.618,-6,0.0666666666667,0.253638852861
2025,2026,0.236,-15,0.2,13.8582677166
2025,2026,0.382,-13,0.2,4.44444444444
2025,2026,0.5,-5,0,0
2025,2026,0.618,-12,0.0666666666667,1.88942565754
2025,2026,0.707,-11,0.0666666666667,2.32804232804
2025,2026,0.786,-4,0,0
2025,2026,0.886,-3,0,0
2025,2026,1,-14,0.133333333333,3.2058287796
2025,2026,1.13,-9,0.0666666666667,1.44855967078
2025,2026,1.27,-10,0.0666666666667,1.37715179969
2025,2026,1.414,-2,0,0
2025,2026,1.618,-7,0.0666666666667,0.667425104285
2025,2026,2,-8,0.0666666666667,0.628795998571
2025,2026,2.24,-1,0,0
2025,2026,2.618,-6,0.0666666666667,0.253638852861
2025,2026H1,0.236,-15,0.2,13.8582677166
2025,2026H1,0.382,-13,0.2,4.44444444444
2025,2026H1,0.5,-5,0,0
2025,2026H1,0.618,-12,0.0666666666667,1.88942565754
2025,2026H1,0.707,-11,0.0666666666667,2.32804232804
2025,2026H1,0.786,-4,0,0
2025,2026H1,0.886,-3,0,0
2025,2026H1,1,-14,0.133333333333,3.2058287796
2025,2026H1,1.13,-9,0.0666666666667,1.44855967078
2025,2026H1,1.27,-10,0.0666666666667,1.37715179969
2025,2026H1,1.414,-2,0,0
2025,2026H1,1.618,-7,0.0666666666667,0.667425104285
2025,2026H1,2,-8,0.0666666666667,0.628795998571
2025,2026H1,2.24,-1,0,0
2025,2026H1,2.618,-6,0.0666666666667,0.253638852861
2026,2026H1,0.236,0,0,0
2026,2026H1,0.382,0,0,0
2026,2026H1,0.5,0,0,0
2026,2026H1,0.618,0,0,0
2026,2026H1,0.707,0,0,0
2026,2026H1,0.786,0,0,0
2026,2026H1,0.886,0,0,0
2026,2026H1,1,0,0,0
2026,2026H1,1.13,0,0,0
2026,2026H1,1.27,0,0,0
2026,2026H1,1.414,0,0,0
2026,2026H1,1.618,0,0,0
2026,2026H1,2,0,0,0
2026,2026H1,2.24,0,0,0
2026,2026H1,2.618,0,0,0
