harmonic_level,rank,observed_frequency,expected_frequency,observed_count,expected_count,enrichment_factor,average_distance,median_distance,proximity_score,cluster_strength_score,btc_count,eth_count,sol_count,btc_rank,eth_rank,sol_rank,dominates_all_three_symbols,symbol_specific_behavior
0.236,1,0.2,0.0144318181817,3,0.216477272726,13.8582677166,0.034707070707,0.036727272727,0.852936141072,11.8202173882,3,0,0,1,,,False,True
1,2,0.133333333333,0.0415909090909,2,0.623863636364,3.2058287796,0,0,1,3.2058287796,1,1,0,4,2,,False,False
0.382,3,0.2,0.045,3,0.675,4.44444444444,0.0268042328043,0.024857142857,0.632818728708,2.81252768315,1,1,1,2,1,1,False,False
0.618,4,0.0666666666667,0.0352840909091,1,0.529261363636,1.88942565754,0.018,0.018,0.694915254237,1.31299071117,0,0,1,,,2,False,True
0.707,5,0.0666666666667,0.0286363636364,1,0.429545454546,2.32804232804,0.0195,0.0195,0.561797752809,1.30788894834,1,0,0,3,,,False,True
1.27,6,0.0666666666667,0.0484090909091,1,0.726136363636,1.37715179969,0.02,0.02,0.722222222222,0.994609633107,0,1,0,,3,,False,True
1.13,7,0.0666666666667,0.0460227272727,1,0.690340909091,1.44855967078,0.03666666667,0.03666666667,0.476190476143,0.689790319351,0,0,1,,,3,False,True
2,8,0.0666666666667,0.106022727273,1,1.59034090909,0.628795998571,0,0,1,0.628795998571,1,0,0,6,,,False,True
1.618,9,0.0666666666667,0.0998863636364,1,1.49829545455,0.667425104285,0.04657142857,0.04657142857,0.756170531047,0.504687195541,1,0,0,5,,,False,True
2.618,10,0.0666666666667,0.262840909091,1,3.94261363636,0.253638852861,0.582,0.582,0,0,1,0,0,7,,,False,True
0.5,11,0,0.0402272727273,0,0.603409090909,0,,,,0,0,0,0,,,,False,False
0.786,12,0,0.0305113636364,0,0.457670454546,0,,,,0,0,0,0,,,,False,False
0.886,13,0,0.0364772727273,0,0.547159090909,0,,,,0,0,0,0,,,,False,False
1.414,14,0,0.0593181818182,0,0.889772727273,0,,,,0,0,0,0,,,,False,False
2.24,15,0,0.105340909091,0,1.58011363636,0,,,,0,0,0,0,,,,False,False
