reaction_id,threshold_name,symbol,direction,active_direction,candidate_direction,reaction_kind,raw_ratio,nearest_harmonic_level,distance_from_nearest_level,knowledge_time,candidate_boxes,active_swing_boxes,column_id,active_start_ts,active_end_ts
BTC:SLOW:000001,SLOW,BTC,UP,DOWN,UP,INTERNAL,2,2,0,1774784639999,4,2,1,1774769399999,1774779599999
BTC:SLOW:000002,SLOW,BTC,UP,DOWN,UP,CONFIRMING,1,1,0,1774815839999,5,5,3,1774769399999,1774805159999
BTC:SLOW:000003,SLOW,BTC,DOWN,UP,DOWN,CONFIRMING,3.2,2.618,0.582,1774824599999,16,5,4,1774805159999,1774815839999
BTC:SLOW:000004,SLOW,BTC,UP,DOWN,UP,CONFIRMING,0.6875,0.707,0.0195,1774826219999,11,16,5,1774815839999,1774824599999
BTC:SLOW:000005,SLOW,BTC,DOWN,UP,DOWN,INTERNAL,0.272727272727,0.236,0.036727272727,1774827359999,3,11,6,1774824599999,1774826219999
BTC:SLOW:000006,SLOW,BTC,DOWN,UP,DOWN,CONFIRMING,0.388888888889,0.382,0.006888888889,1774831979999,7,18,8,1774824599999,1774830059999
BTC:SLOW:000007,SLOW,BTC,UP,DOWN,UP,CONFIRMING,1.57142857143,1.618,0.04657142857,1774839059999,11,7,9,1774830059999,1774831979999
BTC:SLOW:000008,SLOW,BTC,DOWN,UP,DOWN,INTERNAL,0.272727272727,0.236,0.036727272727,1774839899999,3,11,10,1774831979999,1774839059999
BTC:SLOW:000009,SLOW,BTC,DOWN,UP,DOWN,INTERNAL,0.266666666667,0.236,0.030666666667,1774852619999,4,15,12,1774831979999,1774846979999
ETH:SLOW:000010,SLOW,ETH,UP,DOWN,UP,INTERNAL,1,1,0,1774815839999,4,4,1,1774769579999,1774793219999
ETH:SLOW:000011,SLOW,ETH,UP,DOWN,UP,CONFIRMING,1.25,1.27,0.02,1774830059999,15,12,3,1774769579999,1774824599999
ETH:SLOW:000012,SLOW,ETH,DOWN,UP,DOWN,INTERNAL,0.333333333333,0.382,0.048666666667,1774831979999,5,15,4,1774824599999,1774830059999
SOL:SLOW:000013,SLOW,SOL,UP,DOWN,UP,INTERNAL,0.6,0.618,0.018,1774815659999,3,5,1,1774769699999,1774805159999
SOL:SLOW:000014,SLOW,SOL,UP,DOWN,UP,CONFIRMING,1.16666666667,1.13,0.03666666667,1774830059999,14,12,3,1774769699999,1774824599999
SOL:SLOW:000015,SLOW,SOL,DOWN,UP,DOWN,INTERNAL,0.357142857143,0.382,0.024857142857,1774831379999,5,14,4,1774824599999,1774830059999
