symbol,bucket,raw_reactions,measured_count,continuation_frequency,reversal_frequency,median_next_swing,avg_next_swing
BTCUSDT,0.20-0.30,3,1,0,1,7,7
BTCUSDT,0.30-0.40,1,1,1,0,11,11
BTCUSDT,0.40-0.50,0,0,,,,
BTCUSDT,0.50-0.60,0,0,,,,
BTCUSDT,0.60-0.70,1,1,1,0,7,7
BTCUSDT,0.70-0.80,0,0,,,,
BTCUSDT,0.90-1.10,1,1,1,0,16,16
BTCUSDT,1.20-1.35,0,0,,,,
BTCUSDT,1.55-1.70,1,0,,,,
BTCUSDT,2.00-2.10,1,1,0,1,5,5
ETHUSDT,0.20-0.30,0,0,,,,
ETHUSDT,0.30-0.40,1,0,,,,
ETHUSDT,0.40-0.50,0,0,,,,
ETHUSDT,0.50-0.60,0,0,,,,
ETHUSDT,0.60-0.70,0,0,,,,
ETHUSDT,0.70-0.80,0,0,,,,
ETHUSDT,0.90-1.10,1,1,0,1,15,15
ETHUSDT,1.20-1.35,1,0,,,,
ETHUSDT,1.55-1.70,0,0,,,,
ETHUSDT,2.00-2.10,0,0,,,,
SOLUSDT,0.20-0.30,0,0,,,,
SOLUSDT,0.30-0.40,1,0,,,,
SOLUSDT,0.40-0.50,0,0,,,,
SOLUSDT,0.50-0.60,0,0,,,,
SOLUSDT,0.60-0.70,1,1,0,1,14,14
SOLUSDT,0.70-0.80,0,0,,,,
SOLUSDT,0.90-1.10,0,0,,,,
SOLUSDT,1.20-1.35,0,0,,,,
SOLUSDT,1.55-1.70,0,0,,,,
SOLUSDT,2.00-2.10,0,0,,,,
