year,bucket,raw_reactions,measured_count,continuation_frequency,reversal_frequency,median_next_swing
2024,0.20-0.30,0,0,,,
2024,0.30-0.40,0,0,,,
2024,0.40-0.50,0,0,,,
2024,0.50-0.60,0,0,,,
2024,0.60-0.70,0,0,,,
2024,0.70-0.80,0,0,,,
2024,0.90-1.10,0,0,,,
2024,1.20-1.35,0,0,,,
2024,1.55-1.70,0,0,,,
2024,2.00-2.10,0,0,,,
2025,0.20-0.30,0,0,,,
2025,0.30-0.40,0,0,,,
2025,0.40-0.50,0,0,,,
2025,0.50-0.60,0,0,,,
2025,0.60-0.70,0,0,,,
2025,0.70-0.80,0,0,,,
2025,0.90-1.10,0,0,,,
2025,1.20-1.35,0,0,,,
2025,1.55-1.70,0,0,,,
2025,2.00-2.10,0,0,,,
2026,0.20-0.30,3,1,0,1,7
2026,0.30-0.40,3,1,1,0,11
2026,0.40-0.50,0,0,,,
2026,0.50-0.60,0,0,,,
2026,0.60-0.70,2,2,0.5,0.5,10.5
2026,0.70-0.80,0,0,,,
2026,0.90-1.10,2,2,0.5,0.5,15.5
2026,1.20-1.35,1,0,,,
2026,1.55-1.70,1,0,,,
2026,2.00-2.10,1,1,0,1,5
