peak_center,present_2024,present_2025,present_2026,all_years,average_rank
0.275,False,False,True,False,1
0.375,False,False,True,False,5
0.575,False,False,True,False,2
0.675,False,False,True,False,3
1.025,False,False,True,False,6
1.175,False,False,True,False,15
1.275,False,False,True,False,7
1.375,False,False,True,False,10
1.575,False,False,True,False,8
1.775,False,False,True,False,11
2.025,False,False,True,False,4
2.325,False,False,True,False,12
2.775,False,False,True,False,13
3.025,False,False,True,False,14
3.225,False,False,True,False,9
