threshold_name,min_pivot_boxes,min_pivot_ratio,symbol,reaction_kind,bucket,count,percentage
FAST,2,0.146,BTCUSDT,INTERNAL,0-10%,0,
FAST,2,0.146,BTCUSDT,INTERNAL,10-20%,0,
FAST,2,0.146,BTCUSDT,INTERNAL,20-30%,0,
FAST,2,0.146,BTCUSDT,INTERNAL,30-40%,0,
FAST,2,0.146,BTCUSDT,INTERNAL,40-50%,0,
FAST,2,0.146,BTCUSDT,INTERNAL,50-60%,0,
FAST,2,0.146,BTCUSDT,INTERNAL,60-70%,0,
FAST,2,0.146,BTCUSDT,INTERNAL,70-80%,0,
FAST,2,0.146,BTCUSDT,INTERNAL,80-90%,0,
FAST,2,0.146,BTCUSDT,INTERNAL,90-100%,0,
FAST,2,0.146,BTCUSDT,INTERNAL,100%+,0,
FAST,2,0.146,BTCUSDT,CONFIRMING,0-10%,0,0
FAST,2,0.146,BTCUSDT,CONFIRMING,10-20%,0,0
FAST,2,0.146,BTCUSDT,CONFIRMING,20-30%,2,15.3846153846
FAST,2,0.146,BTCUSDT,CONFIRMING,30-40%,0,0
FAST,2,0.146,BTCUSDT,CONFIRMING,40-50%,0,0
FAST,2,0.146,BTCUSDT,CONFIRMING,50-60%,1,7.69230769231
FAST,2,0.146,BTCUSDT,CONFIRMING,60-70%,1,7.69230769231
FAST,2,0.146,BTCUSDT,CONFIRMING,70-80%,2,15.3846153846
FAST,2,0.146,BTCUSDT,CONFIRMING,80-90%,0,0
FAST,2,0.146,BTCUSDT,CONFIRMING,90-100%,0,0
FAST,2,0.146,BTCUSDT,CONFIRMING,100%+,7,53.8461538462
FAST,2,0.146,BTCUSDT,ALL,0-10%,0,0
FAST,2,0.146,BTCUSDT,ALL,10-20%,0,0
FAST,2,0.146,BTCUSDT,ALL,20-30%,2,15.3846153846
FAST,2,0.146,BTCUSDT,ALL,30-40%,0,0
FAST,2,0.146,BTCUSDT,ALL,40-50%,0,0
FAST,2,0.146,BTCUSDT,ALL,50-60%,1,7.69230769231
FAST,2,0.146,BTCUSDT,ALL,60-70%,1,7.69230769231
FAST,2,0.146,BTCUSDT,ALL,70-80%,2,15.3846153846
FAST,2,0.146,BTCUSDT,ALL,80-90%,0,0
