bucket,bucket_lower_inclusive,bucket_upper_exclusive,raw_reaction_count,count,avg_next_swing_size,median_next_swing_size,continuation_frequency,reversal_frequency,continuation_count,reversal_count,unresolved_count
0.20-0.30,0.2,0.3,3,1,7,7,0,1,0,1,2
0.30-0.40,0.3,0.4,3,1,11,11,1,0,1,0,2
0.40-0.50,0.4,0.5,0,0,,,,,0,0,0
0.50-0.60,0.5,0.6,0,0,,,,,0,0,0
0.60-0.70,0.6,0.7,2,2,10.5,10.5,0.5,0.5,1,1,0
0.70-0.80,0.7,0.8,0,0,,,,,0,0,0
0.90-1.10,0.9,1.1,2,2,15.5,15.5,0.5,0.5,1,1,0
1.20-1.35,1.2,1.35,1,0,,,,,0,0,1
1.55-1.70,1.55,1.7,1,0,,,,,0,0,1
2.00-2.10,2,2.1,1,1,5,5,0,1,0,1,0
